time,strain,media,rep,C,GC,swim,swarm,notes
5,OTI031,0.5,2,0.7,0.7,,,
5,OTI031,0.5,3,0.7,0.7,,,whole plate?
5,OTI031,0.3,1,0.9,1.2,,,
5,OTI031,0.3,2,0.8,1,,,
5,OTI031,0.3,3,0.9,1.2,,,
5,CAE466,0.5,1,0.5,NA,,,water in plate
5,CAE466,0.5,2,0.5,NA,,,water in plate
5,CAE466,0.5,3,0.5,NA,,,water in plate
5,CAE466,0.3,1,0.6,NA,,,water in plate
5,CAE466,0.3,2,0.5,NA,,,water in plate
5,CAE466,0.3,3,0.5,NA,,,water in plate
5,CAE709D,0.5,1,0.5,NA,,,
5,CAE709D,0.5,2,0.5,NA,,,
5,CAE709D,0.5,3,0.5,NA,,,
5,CAE709D,0.3,1,0.4,NA,,,
5,CAE709D,0.3,2,0.4,NA,,,
5,CAE709D,0.3,3,0.4,NA,,,
5,OTI201,0.5,1,0.6,0.6,,,
5,OTI201,0.5,2,0.6,0.6,,,
5,OTI201,0.5,3,0.6,0.6,,,
5,OTI201,0.3,1,0.5,0.8,,,
5,OTI201,0.3,2,0.5,0.9,,,
5,OTI201,0.3,3,0.6,1.1,,,
5,CAE499,0.5,1,0.6,NA,,,whole plate?
5,CAE499,0.5,2,0.5,NA,,,whole plate?
5,CAE499,0.5,3,0.5,NA,,,
5,CAE499,0.3,1,0.5,0.5,,,
5,CAE499,0.3,2,0.5,0.5,,,
5,CAE499,0.3,3,0.5,0.5,,,
5,OTI320,0.5,1,0.6,NA,,,
5,OTI320,0.5,2,0.6,NA,,,
5,OTI320,0.5,3,0.6,NA,,,
5,OTI320,0.3,1,0.6,NA,,,
5,OTI320,0.3,2,0.6,NA,,,
5,OTI320,0.3,3,0.5,NA,,,
5,OTI420,0.5,1,0.4,0.4,,,
5,OTI420,0.5,2,0.4,0.4,,,
5,OTI420,0.5,3,0.4,0.4,,,
5,OTI420,0.3,1,0.4,0.4,,,whole plate?
5,OTI420,0.3,2,0.4,0.4,,,whole plate?
5,OTI420,0.3,3,0.4,0.4,,,whole plate?
5,OTI088,0.5,1,0.6,NA,,,
5,OTI088,0.5,2,0.6,NA,,,
5,OTI088,0.5,3,0.7,NA,,,
5,OTI088,0.3,1,0.4,NA,,,
5,OTI088,0.3,2,0.5,NA,,,
5,OTI088,0.3,3,0.5,NA,,,
5,OTI042,0.5,1,0.5,0.6,,,
5,OTI042,0.5,2,0.4,0.5,,,
5,OTI042,0.5,3,0.5,0.5,,,
5,OTI042,0.3,1,0.5,0.7,,,
5,OTI042,0.3,2,0.4,0.6,,,
5,OTI042,0.3,3,0.5,NA,,,
5,OTI018,0.5,1,0.5,NA,,,
5,OTI018,0.5,2,0.5,NA,,,
5,OTI018,0.5,3,0.5,NA,,,
5,OTI018,0.3,1,0.4,NA,,,
5,OTI018,0.3,2,0.4,0.5,,,
5,OTI018,0.3,3,0.4,NA,,,
5,CAE467,0.5,1,0.5,NA,,,
5,CAE467,0.5,2,0.5,NA,,,
5,CAE467,0.5,3,0.5,NA,,,
5,CAE467,0.3,1,0.4,NA,,,
5,CAE467,0.3,2,0.4,NA,,,
5,CAE467,0.3,3,0.4,NA,,,
5,OTI513,0.5,1,0.4,NA,,,
5,OTI513,0.5,2,0.4,NA,,,
5,OTI513,0.5,3,0.4,NA,,,
5,OTI513,0.3,1,0.4,NA,,,whole plate?
5,OTI513,0.3,2,4.6,NA,,,
5,OTI513,0.3,3,0.4,NA,,,whole plate?
5,OTI552,0.5,1,0.5,NA,,,
5,OTI552,0.5,2,0.5,NA,,,
5,OTI552,0.5,3,0.5,NA,,,
5,OTI552,0.3,1,0.4,NA,,,
5,OTI552,0.3,2,0.4,NA,,,
5,OTI552,0.3,3,0.4,NA,,,
8,CAE494,0.5,1,0.5,NA,,,
8,CAE494,0.5,2,0.5,NA,,,
8,CAE494,0.5,3,0.5,NA,,,
8,CAE494,0.3,1,0.4,NA,,,
8,CAE494,0.3,2,0.4,NA,,,
8,CAE494,0.3,3,0.4,NA,,,
8,OTI127,0.5,1,0.5,NA,,,
8,OTI127,0.5,2,0.5,NA,,,
8,OTI127,0.5,3,0.5,NA,,,
8,OTI127,0.3,1,1,1.3,,,
8,OTI127,0.3,2,0.9,1.2,,,
8,OTI127,0.3,3,0.6,0.8,,,
8,CAE163,0.5,1,0.5,NA,,,
8,CAE163,0.5,2,0.4,NA,,,
8,CAE163,0.5,3,0.4,NA,,,
8,CAE163,0.3,1,0.4,NA,,,
8,CAE163,0.3,2,0.4,NA,,,
8,CAE163,0.3,3,0.4,NA,,,
8,OTI514,0.5,1,0.6,0.9,,,
8,OTI514,0.5,2,0.5,0.7,,,
8,OTI514,0.5,3,0.5,0.7,,,
8,OTI514,0.3,1,0.6,1.1,,,
8,OTI514,0.3,2,0.5,0.9,,,
8,OTI514,0.3,3,0.4,0.7,,,
8,CAE268,0.5,1,0.5,NA,,,
8,CAE268,0.5,2,0.5,NA,,,
8,CAE268,0.5,3,0.5,NA,,,
8,CAE268,0.3,1,0.4,NA,,,
8,CAE268,0.3,2,0.4,NA,,,
8,CAE268,0.3,3,0.4,NA,,,
8,OTI146,0.5,1,0.5,NA,,,
8,OTI146,0.5,2,0.5,NA,,,
8,OTI146,0.5,3,0.5,NA,,,
8,OTI146,0.3,1,0.4,NA,,,
8,OTI146,0.3,2,0.4,NA,,,
8,OTI146,0.3,3,0.4,NA,,,
8,CAE546,0.5,1,0.5,0.5,,,
8,CAE546,0.5,2,0.5,0.5,,,
8,CAE546,0.5,3,0.5,0.5,,,
8,CAE546,0.3,1,0.4,0.4,,,
8,CAE546,0.3,2,0.4,0.4,,,
8,CAE546,0.3,3,0.5,0.5,,,
8,OTI154,0.5,1,0.6,0.6,,,
8,OTI154,0.5,2,0.6,0.6,,,
8,OTI154,0.5,3,0.6,0.6,,,
8,OTI154,0.3,1,0.6,0.8,,,
8,OTI154,0.3,2,0.5,0.7,,,
8,OTI154,0.3,3,0.5,0.8,,,
8,CAE271,0.5,1,0.4,NA,,,
8,CAE271,0.5,2,0.4,NA,,,
8,CAE271,0.5,3,0.4,NA,,,
8,CAE271,0.3,1,0.4,NA,,,
8,CAE271,0.3,2,0.4,NA,,,
8,CAE271,0.3,3,0.4,NA,,,
8,CAE433,0.5,1,0.5,0.8,,,
8,CAE433,0.5,2,0.5,0.9,,,
8,CAE433,0.5,3,0.5,0.9,,,
8,CAE433,0.3,1,0.4,0.6,,,
8,CAE433,0.3,2,0.4,0.6,,,
8,CAE433,0.3,3,0.5,0.7,,,
8,CAE734B,0.5,1,0.5,NA,,,
8,CAE734B,0.5,2,0.5,NA,,,
8,CAE734B,0.5,3,0.5,NA,,,
8,CAE734B,0.3,1,0.4,NA,,,
8,CAE734B,0.3,2,0.4,NA,,,
8,CAE734B,0.3,3,0.5,NA,,,
8,CAE548,0.5,1,0.5,NA,,,
8,CAE548,0.5,2,0.4,NA,,,
8,CAE548,0.5,3,0.5,NA,,,
8,CAE548,0.3,1,0.4,NA,,,
8,CAE548,0.3,2,0.4,NA,,,
8,CAE548,0.3,3,0.4,NA,,,
8,CAE743B,0.5,1,0.5,NA,,,
8,CAE743B,0.5,2,0.5,NA,,,
